date,ticker,Index,Type,N
2018-01-05 00:00:00+00:00,AMRN,7137,Good,161.0
2018-01-23 00:00:00+00:00,AMRN,7148,Good,163.0
2018-01-30 00:00:00+00:00,AMRN,7153,Bad,301.0
2018-02-09 00:00:00+00:00,AMRN,7161,Bad,45.0
2018-04-20 00:00:00+00:00,AMRN,7210,Neutral,78.0
2018-09-12 00:00:00+00:00,AMRN,7310,Good,175.0
2018-09-24 00:00:00+00:00,AMRN,7318,Good,1752.0
2018-11-13 00:00:00+00:00,AMRN,7352,Good,5253.0
2019-01-07 00:00:00+00:00,AMRN,7388,Neutral,929.0
2019-03-28 00:00:00+00:00,AMRN,7444,Good,1574.0
2019-07-18 00:00:00+00:00,AMRN,7522,Bad,958.0
2019-08-09 00:00:00+00:00,AMRN,7538,Bad,1488.0
2019-11-12 00:00:00+00:00,AMRN,7602,Neutral,1686.0
2019-12-16 00:00:00+00:00,AMRN,7625,Neutral,7080.0
2020-01-13 00:00:00+00:00,AMRN,7643,Neutral,1109.0
2020-02-26 00:00:00+00:00,AMRN,7673,Neutral,1151.0
2011-03-24 00:00:00+00:00,AMZN,7998,Good,48.0
2011-04-27 00:00:00+00:00,AMZN,8022,Good,291.0
2011-09-28 00:00:00+00:00,AMZN,8129,Good,355.0
2011-10-26 00:00:00+00:00,AMZN,8148,Neutral,565.0
2011-12-12 00:00:00+00:00,AMZN,8179,Good,55.0
2011-12-29 00:00:00+00:00,AMZN,8191,Good,129.0
2012-02-01 00:00:00+00:00,AMZN,8213,Good,644.0
2012-03-21 00:00:00+00:00,AMZN,8247,Good,243.0
2012-04-27 00:00:00+00:00,AMZN,8274,Good,846.0
2012-07-27 00:00:00+00:00,AMZN,8337,Bad,686.0
2012-10-26 00:00:00+00:00,AMZN,8400,Neutral,868.0
2013-01-30 00:00:00+00:00,AMZN,8463,Good,1253.0
2013-04-26 00:00:00+00:00,AMZN,8524,Neutral,650.0
2013-07-26 00:00:00+00:00,AMZN,8587,Bad,673.0
2013-10-25 00:00:00+00:00,AMZN,8650,Good,1181.0
2013-12-02 00:00:00+00:00,AMZN,8674,Good,569.0
2014-01-31 00:00:00+00:00,AMZN,8715,Neutral,1588.0
2014-03-13 00:00:00+00:00,AMZN,8743,Good,216.0
2014-04-25 00:00:00+00:00,AMZN,8774,Bad,935.0
2014-06-05 00:00:00+00:00,AMZN,8802,Neutral,204.0
2014-07-11 00:00:00+00:00,AMZN,8827,Good,339.0
2014-07-25 00:00:00+00:00,AMZN,8837,Bad,1412.0
2014-08-26 00:00:00+00:00,AMZN,8859,Good,297.0
2014-10-24 00:00:00+00:00,AMZN,8900,Bad,2383.0
2014-12-29 00:00:00+00:00,AMZN,8943,Good,214.0
2015-01-30 00:00:00+00:00,AMZN,8965,Neutral,1539.0
2015-04-24 00:00:00+00:00,AMZN,9024,Good,1861.0
2015-07-24 00:00:00+00:00,AMZN,9087,Good,3426.0
2015-10-23 00:00:00+00:00,AMZN,9150,Good,1349.0
2015-11-12 00:00:00+00:00,AMZN,9163,Neutral,702.0
2016-01-29 00:00:00+00:00,AMZN,9215,Neutral,3669.0
